Time  1 - default sample rate [s]	FS22DI_1_NTP_TIME [s]	FS22DI_1_DIAG_SEQ_NUMBER []	A1 [�m/m]	A2 [�m/m]	A3 [�m/m]	A4 [�m/m]	A5 [�m/m]	A6 [�m/m]	A7 [�m/m]	AT [�C]	B1 [�m/m]	B2 [�m/m]	B3 [�m/m]	B4 [�m/m]	B5 [�m/m]	B6 [�m/m]	B7 [�m/m]	B8 [�m/m]	B9 [�m/m]	B10 [�m/m]	B11 [�m/m]	B12 [�m/m]	B13 [�m/m]	B14 [�m/m]	B15 [�m/m]	BT [�C]	D1 [�m/m]	D2 [�m/m]	D3 [�m/m]	D4 [�m/m]	D5 [�m/m]	D6 [�m/m]	D7 [�m/m]	DT [�C]	E1 [�m/m]	E2 [�m/m]	E3 [�m/m]	E4 [�m/m]	E5 [�m/m]	E6 [�m/m]	E7 [�m/m]	E8 [�m/m]	E9 [�m/m]	E10 [�m/m]	E11 [�m/m]	E12 [�m/m]	E13 [�m/m]	E14 [�m/m]	E15 [�m/m]	ET [�C]
11,95	1683226684	6020,0	137,16	173,75	139,87	159,98	112,75	139,67	105,70	27,74	126,71	147,98	78,33	164,90	165,06	162,68	100,15	162,53	46,26	89,21	124,91	113,78	174,24	95,64	111,43	27,87	80,32	141,53	144,51	59,29	101,00	3,071	307,06	26,89	103,69	100,01	59,09	143,16	143,21	90,09	120,63	112,89	52,23	11,10	43,04	105,96	109,79	149,20	336,99	27,03	
11,95	1683226684	6020,0	138,39	174,56	139,77	161,09	113,95	140,16	106,19	27,72	127,02	147,27	78,33	164,80	166,37	163,59	100,75	162,73	46,06	89,61	125,00	113,29	173,94	96,23	109,78	27,79	79,61	143,16	143,30	59,89	100,71	1,288	306,17	26,92	104,62	99,80	59,49	142,96	143,41	90,99	121,44	113,29	52,33	11,10	42,85	106,55	110,48	149,59	337,57	27,02	
11,95	1683226684	6020,0	137,16	174,16	139,57	159,68	112,95	139,67	106,29	28,07	126,71	148,39	78,33	165,41	166,77	163,59	101,76	161,83	45,36	89,01	124,51	113,78	174,14	96,52	110,27	27,79	78,99	142,44	144,11	59,09	101,40	2,278	307,06	27,12	104,92	100,72	59,70	143,47	143,41	91,60	121,74	113,99	52,03	11,10	42,65	107,34	109,99	149,30	336,79	27,02	
11,95	1683226684	6020,0	137,98	175,38	140,48	160,58	112,95	140,16	106,09	27,79	126,71	147,78	78,12	164,80	166,77	162,68	99,95	163,03	45,86	90,60	124,51	113,19	175,02	94,67	111,34	27,75	80,32	142,85	143,91	59,89	101,60	1,684	305,98	26,97	103,69	100,93	59,70	144,18	144,42	90,49	121,14	113,79	52,43	10,41	42,65	106,95	109,40	149,30	336,79	26,97	
11,96	1683226684	6020,0	136,35	174,36	139,26	160,48	112,55	140,16	105,40	27,85	127,12	149,11	78,63	164,90	166,07	162,68	100,05	161,83	46,65	89,71	125,89	113,68	174,82	94,28	110,95	27,82	79,71	142,85	144,11	60,69	101,90	1,981	306,76	27,04	105,23	101,13	57,56	143,87	144,02	91,09	122,54	113,39	52,63	11,10	43,64	106,65	110,09	149,10	335,82	27,00	
11,96	1683226684	6020,0	137,57	173,75	140,38	161,49	112,75	139,76	106,78	27,95	126,61	148,70	78,94	166,02	165,46	162,18	99,55	162,83	44,66	90,00	125,30	112,89	173,26	97,21	110,95	27,77	80,32	142,85	144,51	59,49	102,40	3,368	306,17	27,07	104,41	100,62	59,39	143,87	143,21	90,79	122,34	114,19	52,03	10,80	43,54	106,46	109,20	149,49	336,40	26,95	
11,96	1683226684	6020,0	138,19	174,67	139,97	160,68	112,55	139,67	106,19	27,92	126,30	148,29	78,33	165,41	165,46	162,68	99,15	162,23	46,26	89,90	124,51	113,68	174,63	95,55	109,49	27,67	80,32	143,36	143,91	59,69	100,80	1,387	306,57	27,04	104,82	100,72	59,29	144,78	143,82	90,59	120,74	113,49	52,23	10,90	42,85	106,95	109,69	149,10	337,38	26,97	
11,96	1683226684	6020,0	137,78	174,56	140,68	161,69	113,25	139,17	105,40	28,17	126,71	147,57	79,14	164,80	165,56	162,88	100,15	162,73	45,06	89,61	124,51	113,78	173,65	96,23	110,85	27,68	79,61	143,26	145,12	59,29	102,10	2,080	306,27	27,18	104,31	99,70	60,51	144,18	143,41	91,19	121,14	113,29	51,63	11,30	42,65	106,55	109,69	149,30	336,21	26,97	
11,96	1683226684	6020,0	138,19	174,16	139,37	160,99	113,95	140,16	106,68	27,85	127,02	147,06	78,94	164,70	165,86	163,69	99,55	163,83	45,66	91,19	124,51	112,99	173,45	95,45	111,24	27,67	79,61	142,44	143,91	60,09	101,70	1,981	306,47	26,97	103,38	100,52	59,60	144,28	143,92	92,50	121,34	114,39	52,63	11,30	44,03	107,05	109,60	149,10	336,99	26,97	
11,97	1683226684	6020,0	137,16	174,56	140,38	159,98	112,75	140,36	105,01	28,07	126,61	148,49	78,74	165,41	166,07	162,48	100,25	162,23	45,36	89,11	125,70	114,37	173,16	96,23	110,27	27,67	80,94	143,16	144,51	59,29	101,90	2,476	306,57	27,12	104,41	100,52	59,09	143,16	143,41	89,99	120,94	113,49	52,53	10,71	42,85	106,95	109,99	149,78	337,38	26,97	
11,97	1683226684	6020,0	137,16	173,55	139,97	161,79	113,15	140,36	106,29	27,82	127,02	148,49	79,04	166,63	166,07	162,98	99,55	163,43	44,27	90,20	124,71	112,89	173,26	97,40	110,27	27,64	79,71	142,44	144,01	59,29	102,70	1,783	306,57	27,02	104,72	101,13	58,88	143,47	144,02	91,60	122,34	113,99	52,83	11,10	44,52	106,75	109,69	149,10	337,57	26,87	
11,97	1683226684	6020,0	137,37	173,95	140,98	160,48	113,05	140,85	106,29	27,85	127,63	148,49	79,55	166,12	166,17	163,39	100,55	163,23	45,66	90,00	125,00	112,79	174,63	94,67	109,39	27,82	80,32	142,65	144,31	59,29	102,70	3,170	306,57	26,94	104,62	101,34	59,29	145,60	143,41	90,29	121,14	113,19	52,03	11,10	42,85	106,36	109,99	149,69	337,18	26,92	
11,97	1683226684	6020,0	137,16	174,16	139,37	161,49	112,85	140,16	105,60	27,87	125,89	148,49	78,74	164,09	164,85	162,48	98,75	163,03	45,36	89,21	125,10	114,56	174,43	94,57	110,27	27,77	79,71	142,85	143,91	59,89	101,30	1,783	305,98	27,06	104,51	100,32	58,88	143,16	143,21	90,99	121,74	114,39	52,03	10,11	43,83	106,55	110,28	150,08	337,28	27,00	
11,97	1683226684	6020,0	137,57	174,36	139,47	160,08	112,95	139,76	105,21	27,75	127,02	146,96	78,53	164,90	165,36	163,29	100,55	162,73	44,76	89,71	124,91	113,78	173,65	96,03	110,95	27,68	79,61	142,04	144,51	59,89	101,10	2,873	305,88	26,92	104,62	99,29	59,90	144,58	143,82	91,70	121,34	113,89	51,83	10,11	43,34	107,24	109,60	148,81	336,02	26,92	
11,98	1683226684	6020,0	137,16	173,75	139,57	160,99	112,55	139,76	105,40	27,87	127,12	148,09	78,94	164,80	164,75	163,59	100,55	161,43	45,26	90,20	125,60	114,17	173,94	95,16	110,27	27,79	79,71	142,34	143,91	59,69	100,41	2,278	305,88	27,01	105,13	100,42	59,70	143,16	143,11	91,50	122,24	113,79	51,63	11,30	43,64	107,05	111,56	148,51	337,47	27,09	
11,98	1683226684	6020,0	136,96	173,95	140,07	160,28	113,85	140,16	106,19	27,65	127,12	148,09	78,74	166,02	165,56	162,08	100,55	163,93	46,65	89,80	125,60	112,99	173,65	95,25	110,07	27,82	78,99	142,44	143,91	58,89	101,90	2,476	307,26	26,84	103,90	101,44	59,29	144,78	144,02	90,59	121,14	113,89	52,63	10,61	43,64	106,55	108,81	149,00	337,67	26,97	
11,98	1683226684	6020,0	137,68	173,75	140,58	160,48	113,35	140,26	105,70	27,82	126,92	147,17	79,55	164,09	165,16	163,18	100,05	162,43	44,66	89,41	125,70	113,97	173,65	95,25	110,17	27,79	78,99	142,14	145,12	60,49	101,90	2,278	306,76	26,87	104,10	100,52	58,07	143,57	143,11	90,99	120,53	113,39	51,63	11,10	43,44	107,64	110,48	149,30	337,77	26,96	
11,98	1683226684	6020,0	136,76	174,16	139,16	161,39	113,45	139,17	106,68	27,92	126,30	149,11	78,43	165,51	166,27	163,18	100,35	161,83	45,46	89,21	124,71	114,56	174,24	95,06	111,04	27,84	80,32	141,83	144,01	59,29	101,90	2,575	306,76	27,04	103,49	100,32	58,88	143,57	144,52	91,60	121,74	113,79	52,23	10,71	43,54	105,77	109,60	148,71	337,38	27,00	
11,98	1683226684	6020,0	136,96	174,77	140,68	161,29	112,55	139,57	105,90	27,75	126,61	148,70	79,24	165,51	165,56	163,89	99,25	162,73	46,26	90,30	124,31	112,99	173,45	95,06	109,39	27,73	78,99	143,05	144,51	60,29	101,30	0,8915	305,78	26,92	104,41	101,44	58,88	145,49	143,41	91,40	120,74	113,19	53,23	11,10	43,34	107,34	110,09	149,30	337,38	26,90	
11,99	1683226684	6020,0	136,55	174,56	139,87	159,68	113,15	139,67	105,70	27,92	126,92	147,78	78,94	164,19	164,65	163,29	100,35	161,93	45,96	88,81	125,10	112,70	174,73	95,64	110,56	27,82	78,99	143,77	143,80	59,69	102,00	2,873	305,68	27,12	104,10	100,93	58,88	144,28	143,21	90,59	120,53	113,59	53,33	10,71	43,83	106,95	110,77	148,12	337,18	27,00	
11,99	1683226684	6020,0	137,78	174,56	139,77	160,58	112,55	140,66	106,78	27,71	127,02	148,90	78,63	165,41	165,36	163,08	98,75	163,83	45,66	89,01	125,79	114,37	175,02	96,03	110,56	27,67	78,38	142,44	143,50	58,89	101,40	1,981	306,17	26,89	104,00	100,52	59,39	142,96	143,41	90,79	121,84	113,79	52,03	11,00	44,33	106,36	109,60	149,10	337,18	26,91	
11,99	1683226684	6020,0	137,16	172,73	140,58	160,28	112,95	139,67	105,60	27,90	127,94	148,29	79,35	165,51	165,66	163,18	100,25	163,33	45,86	89,80	124,91	114,37	174,43	95,84	110,07	27,68	78,99	142,65	144,51	59,89	102,10	3,269	306,47	27,07	105,03	101,44	58,78	143,57	143,92	90,39	120,74	114,49	52,83	11,10	43,04	105,96	110,77	149,30	337,09	26,97	
11,99	1683226684	6020,0	136,96	173,65	140,38	161,09	112,55	139,17	105,01	27,82	127,43	148,29	79,35	165,41	165,66	163,89	99,75	161,93	45,26	90,30	125,89	113,68	174,14	96,23	109,68	27,83	79,71	142,65	143,91	59,29	101,90	2,080	305,19	27,02	104,31	100,52	58,88	144,28	143,92	92,40	122,04	113,59	51,83	10,80	43,54	106,75	110,48	148,71	337,77	27,07	
11,99	1683226684	6020,0	137,78	175,28	140,98	159,88	111,86	139,67	106,39	27,95	127,12	147,88	78,84	166,02	165,16	164,09	99,75	163,23	44,86	89,80	124,71	113,58	173,84	95,25	111,04	27,71	79,61	143,36	144,41	59,29	103,10	1,387	306,37	27,01	104,51	101,13	59,29	144,07	143,72	91,80	120,53	112,39	52,43	10,90	42,65	107,14	109,99	149,49	336,40	26,93	
12,00	1683226684	6020,0	137,78	174,16	139,16	160,89	112,75	139,17	105,40	27,96	128,15	148,90	79,55	164,90	165,56	162,28	99,35	162,83	45,36	88,12	126,09	113,19	173,26	94,86	111,04	27,75	79,71	143,46	143,40	58,89	102,50	2,674	307,36	27,11	104,72	101,85	58,88	145,09	143,41	90,59	120,74	113,49	52,23	10,71	43,83	107,24	109,99	149,88	337,77	27,05	
12,00	1683226684	6020,0	138,39	174,67	139,57	161,69	112,75	139,67	106,59	27,79	126,71	148,19	79,55	164,80	165,66	163,89	99,85	161,83	46,65	90,20	124,71	113,19	174,14	95,35	110,66	27,82	79,71	142,65	144,31	59,09	101,10	1,981	306,17	26,97	104,92	99,70	58,98	143,87	143,92	91,40	121,74	113,39	52,03	10,51	44,13	106,75	110,58	149,69	336,60	26,97	
12,00	1683226684	6020,0	137,57	174,56	140,58	160,68	112,16	140,16	106,19	27,92	127,22	147,27	78,84	164,90	165,36	164,80	99,95	162,43	45,06	89,80	125,99	114,17	175,41	96,03	109,29	27,67	80,94	143,77	144,51	60,69	101,90	1,684	306,47	27,02	104,31	99,80	59,90	144,48	143,11	91,60	121,34	113,99	51,83	10,90	43,34	107,24	109,60	149,00	338,74	26,97	
12,00	1683226684	6020,0	137,57	173,55	140,68	160,89	111,76	140,16	105,60	27,82	126,92	147,98	77,92	164,70	164,85	163,49	99,35	161,93	45,36	88,61	124,71	114,17	173,65	96,23	111,43	27,79	79,61	143,05	145,12	59,29	102,70	1,090	305,68	27,02	104,10	100,62	59,60	143,47	143,21	91,40	122,04	113,59	52,03	11,10	43,04	106,95	109,99	149,69	336,02	27,03	
12,00	1683226684	6020,0	137,37	175,28	140,58	161,09	112,16	139,57	105,60	27,87	126,71	148,39	78,33	166,73	164,55	162,88	100,55	162,23	45,66	89,11	124,51	113,09	174,53	95,64	109,49	27,72	79,71	142,65	144,01	60,29	101,70	1,486	306,27	26,89	104,31	100,32	58,48	144,99	144,52	91,19	121,34	113,39	51,83	10,51	42,35	107,73	111,36	148,90	336,21	26,90	
12,01	1683226684	6020,0	136,55	173,34	139,97	160,08	112,75	139,17	105,90	27,92	126,50	147,68	78,53	165,41	164,95	163,49	100,85	162,43	44,86	89,51	125,10	114,17	174,63	94,86	109,29	27,79	80,32	142,04	144,31	59,69	101,30	2,873	306,17	27,11	104,51	100,11	58,68	143,16	144,42	89,99	121,14	113,99	51,63	11,00	42,65	107,14	110,67	149,00	337,09	26,97	
12,01	1683226684	6020,0	137,16	174,77	140,17	160,58	112,85	138,97	106,98	27,92	125,89	148,90	78,43	164,90	164,35	163,08	100,15	162,43	45,26	89,21	124,41	113,38	175,02	96,43	110,66	27,84	79,71	142,24	144,31	59,89	101,60	1,486	305,98	27,02	103,90	101,85	58,98	144,18	143,82	92,00	121,04	113,39	51,63	10,71	43,44	105,96	110,87	150,27	337,38	27,07	
12,01	1683226684	6020,0	137,98	174,56	140,48	161,09	112,36	140,16	105,90	27,80	127,22	146,45	79,35	166,02	166,27	163,59	100,15	161,63	45,36	88,81	125,10	112,70	173,65	95,64	109,10	27,66	79,71	143,97	144,51	59,09	102,80	1,882	306,17	26,93	105,03	100,11	59,09	145,29	144,52	90,89	120,33	113,39	52,03	11,10	42,85	107,05	109,99	148,61	337,47	26,82	
12,01	1683226684	6020,0	136,55	173,34	140,58	160,48	112,36	140,16	106,49	27,92	127,02	148,49	78,74	164,19	165,56	163,69	100,75	161,23	46,55	89,41	124,71	113,38	173,84	94,86	110,46	27,81	79,71	143,26	145,12	59,49	102,50	3,467	306,57	27,04	104,72	100,32	59,29	144,28	144,02	90,59	121,14	113,39	52,33	10,71	43,54	106,95	110,67	148,90	337,47	27,05	
12,01	1683226684	6020,0	137,37	174,36	139,97	160,18	114,15	139,57	105,60	27,79	127,02	148,29	78,43	166,12	165,56	163,89	100,15	163,83	46,26	90,00	124,71	113,38	173,45	95,16	110,75	27,79	79,71	142,65	143,91	59,29	101,50	1,783	306,37	26,88	104,00	100,52	60,11	144,99	143,41	91,80	120,74	113,19	52,63	10,51	43,54	106,95	110,48	149,88	337,28	26,96	
12,02	1683226684	6020,0	137,37	174,16	140,68	161,29	112,75	140,56	105,60	27,79	126,61	146,86	80,16	164,30	165,16	163,49	100,05	162,13	45,96	89,01	124,91	113,19	173,65	95,35	110,95	27,89	80,94	144,27	144,71	59,69	101,70	2,080	306,37	26,94	105,03	100,32	60,11	144,18	143,11	90,59	122,24	113,99	52,63	10,80	43,24	107,73	110,58	149,00	337,28	27,05	
12,02	1683226684	6020,0	137,68	174,77	140,17	160,18	113,15	139,17	105,40	27,80	126,61	147,06	77,92	165,51	164,95	163,59	100,75	162,83	44,47	90,30	124,12	113,97	173,84	95,84	110,66	27,79	80,94	143,46	144,71	59,69	103,40	2,873	306,17	26,98	103,69	99,50	60,11	143,47	142,81	92,20	120,74	113,49	51,63	10,90	43,44	106,75	110,38	149,69	336,60	27,03	
12,02	1683226684	6020,0	137,37	173,65	140,68	160,48	112,75	139,67	105,90	27,85	126,92	148,29	77,72	164,90	166,17	164,39	101,05	162,23	45,26	89,80	123,82	113,48	173,65	96,03	109,88	27,68	79,61	143,26	145,12	60,49	102,70	2,674	306,57	27,04	104,10	101,24	58,88	143,97	143,41	91,60	120,23	113,49	51,63	10,80	41,76	106,55	109,99	149,30	336,79	26,97	
12,02	1683226684	6020,0	137,16	173,75	139,97	160,28	113,75	140,16	105,40	27,92	127,74	148,29	79,45	164,70	166,17	163,29	100,75	163,23	45,46	88,81	124,91	113,97	173,94	95,35	110,27	27,82	80,32	143,56	144,51	59,49	100,90	2,476	306,76	27,04	104,51	100,52	58,98	143,57	143,41	91,09	121,24	114,99	52,03	10,61	43,34	106,75	110,58	150,27	337,96	27,12	
12,02	1683226684	6070,0	137,57	174,16	140,17	160,89	112,85	140,16	106,68	27,85	126,30	148,70	78,33	165,41	164,85	162,88	99,05	164,12	45,86	89,01	124,31	113,19	175,41	96,23	110,36	27,79	79,71	143,05	144,01	58,39	102,70	2,278	305,88	26,97	103,49	100,01	59,09	143,26	144,52	91,19	121,74	114,29	51,73	10,51	43,24	105,96	109,60	148,90	336,60	27,02	
12,03	1683226684	6070,0	137,16	173,04	140,58	159,88	113,35	140,75	105,60	27,92	127,43	148,29	79,14	166,12	166,47	162,98	100,55	162,73	45,96	89,61	123,82	113,88	174,73	95,84	111,43	27,70	80,32	143,26	144,01	60,09	102,30	2,575	306,37	26,99	104,92	101,44	59,19	144,48	143,92	90,39	120,03	114,99	53,23	10,51	41,76	107,14	110,38	150,27	336,02	26,92	
12,03	1683226684	6070,0	137,78	173,75	139,57	159,68	112,55	139,57	105,40	27,82	125,99	148,70	78,33	165,41	165,36	163,39	100,85	161,83	46,26	89,21	124,91	113,78	174,24	94,96	111,04	27,79	79,71	142,34	144,11	59,29	101,70	2,080	306,96	26,94	103,69	101,65	59,39	143,67	144,02	90,89	119,93	112,79	53,33	10,71	43,04	106,55	109,40	148,90	337,67	27,02	
12,03	1683226684	6070,0	137,57	175,17	140,58	160,89	111,86	140,16	106,39	27,85	126,71	148,29	78,33	166,02	165,16	164,19	99,95	163,13	44,86	89,61	124,02	113,78	173,45	95,64	110,07	27,71	79,71	143,77	145,12	59,49	102,50	2,080	305,88	27,04	104,20	100,52	59,29	143,97	143,82	92,20	121,34	113,59	51,53	11,10	42,65	107,24	110,67	149,49	336,60	26,93	
12,03	1683226684	6070,0	137,37	173,75	140,78	161,09	112,75	139,17	106,09	27,95	127,63	148,09	79,75	166,02	165,06	163,18	100,55	163,03	43,87	90,80	125,10	114,37	173,84	95,25	110,27	27,70	79,71	142,85	145,12	59,29	102,10	2,278	305,39	27,01	104,62	101,65	59,60	144,28	143,21	90,99	121,14	114,49	52,03	10,41	43,44	107,14	111,16	149,20	338,45	26,85	
12,03	1683226684	6070,0	137,57	173,34	140,58	160,08	113,35	139,67	106,68	27,95	126,50	148,29	78,33	164,70	165,56	162,48	100,25	163,03	44,56	89,41	125,50	114,86	174,24	95,25	110,07	27,82	78,99	143,26	144,51	60,29	102,00	1,783	306,96	27,07	103,90	100,72	59,29	142,45	143,21	90,99	120,94	113,19	52,43	11,10	43,04	106,26	109,99	149,20	337,18	27,00	
12,04	1683226684	6070,0	137,78	175,07	141,18	160,28	113,15	139,57	105,60	27,79	127,74	147,98	79,14	164,80	165,76	162,88	100,55	163,13	45,26	89,01	124,91	113,19	173,65	96,33	110,95	27,79	78,99	142,95	145,12	60,69	102,30	1,981	305,39	26,97	104,51	100,62	59,90	143,57	144,42	90,59	121,74	112,99	52,23	10,11	42,55	106,95	109,99	149,88	337,38	27,02	
12,04	1683226684	6070,0	136,96	173,55	140,58	160,08	111,96	141,15	106,19	27,92	127,22	147,78	79,75	164,90	165,26	164,29	100,25	162,83	45,96	88,52	124,71	113,19	175,31	95,64	110,56	27,79	80,32	143,05	144,01	59,29	102,30	2,674	306,57	27,12	104,41	100,32	59,09	146,00	142,71	92,00	120,94	114,59	53,23	10,71	42,85	107,05	110,38	149,10	337,57	26,95	
12,04	1683226684	6070,0	136,96	175,17	139,37	161,29	113,25	140,26	106,68	27,92	126,71	147,47	78,43	166,02	165,96	164,69	99,95	163,03	45,46	89,41	124,91	113,29	173,26	97,60	111,04	27,76	79,71	142,44	143,30	59,89	102,50	1,981	305,98	27,07	103,59	100,42	58,68	143,87	143,41	92,10	121,14	113,79	51,73	10,80	43,64	107,24	110,58	150,08	336,02	26,92	
12,04	1683226684	6070,0	137,98	173,95	139,97	161,29	112,36	139,76	105,21	28,00	126,92	147,17	79,75	164,80	165,66	163,59	99,65	162,83	45,26	88,52	125,79	113,38	174,53	95,06	110,07	27,76	79,61	143,16	143,30	59,29	101,60	2,476	305,68	27,12	104,10	100,32	58,98	143,57	143,21	90,39	121,34	112,79	51,63	10,21	42,65	106,36	111,16	150,08	337,28	27,00	
12,04	1683226684	6070,0	136,96	173,34	140,58	160,48	111,86	140,75	106,19	27,92	126,61	148,70	78,53	165,31	165,36	162,48	100,75	163,43	46,26	88,71	125,30	114,56	174,04	94,47	110,17	27,76	79,71	142,44	144,51	59,49	101,30	2,278	306,96	27,04	104,41	100,83	59,29	142,76	142,81	90,39	121,34	114,59	52,23	11,30	45,21	106,36	109,99	148,12	337,09	27,00	
12,05	1683226684	6070,0	137,98	174,46	141,28	160,28	114,15	139,07	105,80	27,90	127,02	149,52	77,72	165,51	164,55	163,29	100,85	162,43	46,65	89,41	125,10	113,97	174,73	94,57	110,85	27,72	80,32	141,73	144,51	59,29	101,10	1,387	307,36	27,01	104,00	101,03	58,68	143,77	143,92	90,79	119,93	113,39	52,23	10,61	43,44	107,05	109,79	149,69	336,60	26,90	
12,05	1683226684	6070,0	137,16	173,75	140,78	160,08	112,75	139,17	106,19	27,98	126,40	148,90	79,14	165,51	165,86	163,89	100,15	161,93	45,86	89,11	125,30	114,37	173,65	94,57	110,07	27,73	79,71	142,85	144,71	58,39	101,70	1,387	306,27	27,11	104,72	102,26	58,88	143,87	144,52	91,19	121,44	112,49	53,13	10,61	42,45	106,95	110,67	149,49	337,67	27,03	
12,05	1683226684	6070,0	137,16	173,95	140,17	161,29	112,75	140,16	105,60	27,90	126,71	147,78	78,94	164,09	164,55	163,29	99,35	164,22	46,26	89,21	124,51	113,38	174,82	96,62	110,07	27,75	78,99	143,05	144,01	59,09	101,90	1,783	305,58	27,12	104,41	100,72	58,98	144,48	142,81	92,00	120,33	113,99	52,03	10,90	42,85	106,95	109,60	150,27	338,06	26,92	
12,05	1683226684	6070,0	137,98	173,95	139,77	161,49	112,75	140,56	106,19	27,80	126,40	148,49	79,24	164,90	166,17	163,49	100,25	161,83	45,36	89,21	124,91	112,99	174,53	97,40	109,88	27,71	78,99	143,36	144,31	59,69	101,90	1,684	306,76	26,96	104,72	100,52	58,27	143,16	143,82	91,19	121,14	112,79	52,03	10,51	43,64	108,13	110,18	149,78	337,18	26,93	
12,05	1683226684	6070,0	136,76	173,65	139,67	160,58	113,75	139,17	106,29	27,96	127,22	147,78	78,63	166,73	165,96	164,69	100,55	162,83	45,66	88,71	125,10	112,20	173,45	95,25	109,49	27,86	80,94	142,65	143,40	60,09	102,30	1,684	306,37	27,09	104,41	100,32	59,70	143,47	143,11	91,60	119,93	112,89	52,43	11,00	43,44	107,14	109,50	149,10	337,67	27,02	
12,06	1683226684	6070,0	137,78	174,36	139,37	160,28	113,05	139,07	105,60	27,79	125,89	148,39	79,55	164,19	165,06	163,29	100,55	161,83	46,06	90,00	123,23	113,58	174,82	95,35	110,56	27,79	78,99	142,14	143,91	59,29	101,40	2,377	305,98	26,97	104,51	100,93	58,78	143,57	143,92	90,79	119,93	114,39	52,53	10,61	42,35	106,75	110,38	149,20	337,09	27,03	
12,06	1683226684	6070,0	137,57	174,16	141,18	160,89	112,95	139,67	104,81	28,02	126,71	148,90	79,14	166,02	165,86	163,69	100,75	162,23	45,66	89,21	124,91	113,78	174,53	95,35	109,29	27,65	79,71	142,24	144,51	60,69	101,10	1,585	306,76	27,07	104,31	101,24	58,48	144,68	143,92	91,09	120,74	112,89	52,43	9,912	43,34	107,05	110,58	149,88	338,16	26,87	
12,06	1683226684	6070,0	137,78	173,95	140,68	159,48	111,86	140,16	105,21	28,02	126,40	148,09	79,14	166,12	165,76	163,18	100,55	162,53	45,06	89,61	125,30	113,88	172,86	96,62	109,49	27,67	79,61	143,97	144,51	60,49	103,10	1,981	306,76	27,18	104,00	100,11	58,48	145,19	144,02	90,99	120,53	114,69	52,43	11,10	44,13	106,36	109,30	149,10	337,18	26,97	
12,06	1683226684	6070,0	138,19	174,16	139,57	160,08	112,55	139,67	106,19	27,95	126,92	147,78	79,14	166,12	165,26	163,29	100,75	163,03	45,06	90,60	123,92	113,38	174,14	95,45	109,39	27,73	78,99	141,02	144,51	60,49	101,70	1,882	305,68	27,07	104,10	100,11	57,86	143,57	143,92	91,40	120,74	113,39	50,84	10,61	43,04	106,95	109,99	149,30	337,86	27,03	
12,06	1683226684	6070,0	137,57	174,16	140,68	160,38	112,55	140,16	106,09	27,90	127,43	147,57	78,12	166,73	165,96	163,18	100,35	163,03	43,87	88,52	125,79	113,68	173,65	95,45	109,29	27,77	80,32	142,44	144,51	59,69	103,70	1,090	305,98	27,04	104,92	99,91	59,29	145,19	143,82	90,39	120,94	113,39	52,23	10,11	43,83	106,75	110,18	149,10	337,67	27,00	
12,07	1683226684	6070,0	137,57	173,45	139,16	160,89	113,15	139,76	106,39	28,00	127,53	147,68	78,33	164,70	165,16	162,88	99,95	163,03	45,66	89,21	124,31	113,58	173,26	94,86	111,04	27,72	80,94	142,85	144,31	59,09	102,10	3,170	306,67	27,04	103,90	99,50	57,97	144,48	143,11	91,80	122,14	114,39	52,83	11,10	43,24	107,24	110,38	150,47	337,28	26,89	
12,07	1683226684	6070,0	138,19	175,38	138,76	160,08	113,55	140,56	105,01	27,82	127,94	147,78	78,94	164,90	166,17	164,09	101,66	162,73	46,55	89,41	125,50	113,88	175,22	94,47	109,68	27,79	79,71	142,24	142,90	60,29	101,40	0,8915	305,39	27,02	105,03	100,93	58,68	143,97	143,41	91,60	121,14	112,69	53,23	11,10	43,24	107,54	110,28	149,49	337,57	27,03	
12,07	1683226684	6070,0	137,57	173,95	139,97	159,98	112,55	139,27	106,09	27,85	127,12	147,98	78,94	164,80	165,86	162,28	100,35	161,63	45,16	90,10	124,91	112,79	172,96	95,84	109,88	27,73	79,71	143,16	143,91	59,09	101,40	2,377	306,96	26,97	105,23	100,62	60,31	143,67	143,92	90,59	121,74	113,99	52,53	10,80	43,34	107,05	111,16	149,49	336,79	26,97	
12,07	1683226684	6070,0	137,78	173,34	139,77	160,89	112,06	139,67	106,09	27,85	126,81	148,90	78,84	165,41	164,75	162,18	99,75	161,63	46,26	89,80	124,12	113,38	174,14	96,23	111,34	27,75	78,99	142,44	144,01	59,49	103,30	2,080	306,17	27,02	104,92	101,44	59,29	143,67	143,41	90,19	121,74	113,09	52,63	11,50	43,04	106,55	109,40	149,00	336,40	26,97	
12,07	1683226684	6070,0	137,78	174,16	139,77	159,78	114,15	140,36	106,98	27,79	126,30	147,37	79,14	164,70	165,56	163,89	100,35	163,83	44,27	89,11	124,31	113,97	175,22	96,03	109,88	27,79	78,99	142,85	143,91	60,69	101,00	2,476	306,47	26,97	104,00	100,21	59,39	144,18	143,21	91,70	121,24	113,79	51,44	10,51	43,04	106,85	109,79	148,90	335,63	26,97	
12,08	1683226684	6070,0	138,19	174,16	140,38	159,68	111,96	138,58	106,19	27,88	127,94	148,70	78,53	166,02	164,95	163,49	100,55	163,23	44,56	89,71	124,12	114,37	174,53	95,35	109,88	27,79	80,94	143,05	143,91	59,69	102,30	2,674	306,76	26,99	104,41	100,62	59,49	143,57	143,82	90,59	120,94	114,99	52,63	10,41	42,06	107,34	110,18	149,30	338,16	27,05	
